S/N,STATE,LGA,REGISTRATION AREA,POLLING UNIT,DELIMITATION,TOTAL
3546,JIGAWA,MALAM MADORI,FATEKA AKURYA,FATEKA PRI. SCH.,17-21-03-006,645
3547,JIGAWA,MALAM MADORI,FATEKA AKURYA,BAGUWAR HABE  PRI. SCH.,17-21-03-007,517
3548,JIGAWA,MALAM MADORI,FATEKA AKURYA,GIDAN MAIGARI/JIGAWAR MAMMAN,17-21-03-008,597
3549,JIGAWA,MALAM MADORI,FATEKA AKURYA,GIDAN MAIGARI/MAWADACHI,17-21-03-009,438
3550,JIGAWA,MALAM MADORI,FATEKA AKURYA,CHANCHANDA PRI. SCH.,17-21-03-010,538
3551,JIGAWA,MALAM MADORI,FATEKA AKURYA,GIDAN MAIGARI/BABBAR RIGA,17-21-03-011,742
3552,JIGAWA,MALAM MADORI,FATEKA AKURYA,GIDAN MAIGARI/ RIGAR BARDE,17-21-03-012,258
3553,JIGAWA,MALAM MADORI,FATEKA AKURYA,AKURYA GABAS PRI. SCH. III,17-21-03-013,11
3554,JIGAWA,MALAM MADORI,GARIN GABAS,UNGUWAR FADA/UNGUWAR FADA,17-21-04-001,750
3555,JIGAWA,MALAM MADORI,GARIN GABAS,GIDAN MAIGARI/CHIRAWA,17-21-04-002,192
3556,JIGAWA,MALAM MADORI,GARIN GABAS,GARI GABAS TSOHUWA PRI. SCH.,17-21-04-003,923
3557,JIGAWA,MALAM MADORI,GARIN GABAS,GIDAN MAIGARI/MASKADU BADERI,17-21-04-004,518
3558,JIGAWA,MALAM MADORI,GARIN GABAS,GIDAN MAIGARI/MAISO,17-21-04-005,546
3559,JIGAWA,MALAM MADORI,GARIN GABAS,JALAWA PRI. SCH.,17-21-04-006,454
3560,JIGAWA,MALAM MADORI,GARIN GABAS,KOFAR MAIGARI/HANAKASHE,17-21-04-007,230
3561,JIGAWA,MALAM MADORI,GARIN GABAS,DISPENSARY OFFICE/BAKIN KASUWA,17-21-04-008,1043
3562,JIGAWA,MALAM MADORI,GARIN GABAS,GIDAN MAI UNGUWA/UNGUWAR MAIDOKI,17-21-04-009,908
3563,JIGAWA,MALAM MADORI,GARIN GABAS,KOFAR HAKIMI,17-21-04-010,535
3564,JIGAWA,MALAM MADORI,GARIN GABAS,TSOHUWAR PRIMARY SCHOOL I,17-21-04-011,3
3565,JIGAWA,MALAM MADORI,GARIN GABAS,DISPENSARY BAKIN KASUWA I,17-21-04-012,76
3566,JIGAWA,MALAM MADORI,GARIN GABAS,GIDAN/MAI UNGUWA U/MAIGARI,17-21-04-013,19
3567,JIGAWA,MALAM MADORI,MAIRA KUMI-BARA MUSA,GIDAN MAI UNGUWA/MANOMI GABAS,17-21-05-001,688
3568,JIGAWA,MALAM MADORI,MAIRA KUMI-BARA MUSA,GIDAN MAIGARI/JARNISKI MAIRAKUMI,17-21-05-002,346
3569,JIGAWA,MALAM MADORI,MAIRA KUMI-BARA MUSA,GIDAN MAIGARI/ MATARAR JARNISKI,17-21-05-003,322
3570,JIGAWA,MALAM MADORI,MAIRA KUMI-BARA MUSA,GIDAN MAIGARI/ BARA MUSA GABASI,17-21-05-004,671
3571,JIGAWA,MALAM MADORI,MAIRA KUMI-BARA MUSA,GIDAN MAIGARI/ DIGARI,17-21-05-005,612
3572,JIGAWA,MALAM MADORI,MAIRA KUMI-BARA MUSA,GIDAN MAIGARI/  MALARIN GAMMA,17-21-05-006,711
3573,JIGAWA,MALAM MADORI,MAIRA KUMI-BARA MUSA,MAIRAKUMI AREWA PRI. SCH.,17-21-05-007,750
3574,JIGAWA,MALAM MADORI,MAIRA KUMI-BARA MUSA,KASHINDILA PRI. SCH.,17-21-05-008,877
3575,JIGAWA,MALAM MADORI,MAIRA KUMI-BARA MUSA,GIDAN MAIGARI/TAKOKO,17-21-05-009,330
3576,JIGAWA,MALAM MADORI,MAIRA KUMI-BARA MUSA,GIDAN MAIGARI/AGAYAU GABAS,17-21-05-010,422
3577,JIGAWA,MALAM MADORI,MAIRA KUMI-BARA MUSA,MAI RAKUMI AREWA P.S. II,17-21-05-011,554
3578,JIGAWA,MALAM MADORI,MAIRA KUMI-BARA MUSA,KASHINDILA PRI. SCH. II,17-21-05-012,158
3579,JIGAWA,MALAM MADORI,MAKA DDARI,GIDAN MAIGARI/GARIN MAJIYA,17-21-06-001,359
3580,JIGAWA,MALAM MADORI,MAKA DDARI,GARIN BARMA KUDU PRI. SCH. I,17-21-06-002,585
3581,JIGAWA,MALAM MADORI,MAKA DDARI,GARIN BARMA KUDU PRI. SCH. II,17-21-06-003,433
3582,JIGAWA,MALAM MADORI,MAKA DDARI,MAKADDARI YAMMA,17-21-06-004,632
3583,JIGAWA,MALAM MADORI,MAKA DDARI,PRY SCH/MAKADDARI AREWA,17-21-06-005,609
3584,JIGAWA,MALAM MADORI,MAKA DDARI,GIDAN MAIGARI/FULANIN MAKADDARI,17-21-06-006,356
3585,JIGAWA,MALAM MADORI,MAKA DDARI,GIDAN MAIGARI/MAMAYEN GABAS,17-21-06-007,465
3586,JIGAWA,MALAM MADORI,MAKA DDARI,GIDAN MAIGARI/KARGON DAN BARE,17-21-06-008,446
3587,JIGAWA,MALAM MADORI,MAKA DDARI,GIDAN MAIGARI/AKURYA,17-21-06-009,328
3588,JIGAWA,MALAM MADORI,MAKA DDARI,KARGON MAMMAN PRI. SCH.,17-21-06-010,627
3589,JIGAWA,MALAM MADORI,MAKA DDARI,GIDAN MAIGARI/MALAMAWAR ZARAMI,17-21-06-011,583
3590,JIGAWA,MALAM MADORI,MALAM MADORI,KOFAR MALAM HALADU/TITIN HALADU  I,17-21-07-001,1180
3591,JIGAWA,MALAM MADORI,MALAM MADORI,KOFAR MALAM HALADU/TITIN HALADU  II,17-21-07-002,750
3592,JIGAWA,MALAM MADORI,MALAM MADORI,BAKIN RIJAYA/TUDUN GANA RIJIYA,17-21-07-003,1172
3593,JIGAWA,MALAM MADORI,MALAM MADORI,GIDAN MAIGARI / BARAMUSA,17-21-07-004,605
3594,JIGAWA,MALAM MADORI,MALAM MADORI,KOFAR ABDU ATA/GIDAN ABDU ATA,17-21-07-005,903
3595,JIGAWA,MALAM MADORI,MALAM MADORI,GIDAN MAI UNGUWA/UNGUWAR SHAMAKI KUDU,17-21-07-006,821
3596,JIGAWA,MALAM MADORI,MALAM MADORI,GIDAN SARKIN FAWA/UNGUWAR SARKIN FAWA,17-21-07-007,985
3597,JIGAWA,MALAM MADORI,MALAM MADORI,KOFAR KANTI/KANTIN SANI,17-21-07-008,594
3598,JIGAWA,MALAM MADORI,MALAM MADORI,KOFAR GIDAN MAISHAYI/GIDAN GAJEN MAISHAYI,17-21-07-009,816
3599,JIGAWA,MALAM MADORI,MALAM MADORI,GIDAN MAIGARI/KWANKWANI,17-21-07-010,379
3600,JIGAWA,MALAM MADORI,MALAM MADORI,GIDAN MAIYARA/UNGUWAR MAIYARA,17-21-07-011,875
3601,JIGAWA,MALAM MADORI,MALAM MADORI,GIDAN MAI UNGUWA/USMAN ADABI ST.,17-21-07-012,748
3602,JIGAWA,MALAM MADORI,MALAM MADORI,GIDAN MAIUNGUNWAR USMAN/ADABI ST,17-21-07-013,706
3603,JIGAWA,MALAM MADORI,MALAM MADORI,DAKIDO PRI. SCH./UNGUWAR CHIROMA I SHAMAKI,17-21-07-014,867
3604,JIGAWA,MALAM MADORI,MALAM MADORI,DAKIDO PRI. SCH./UNGUWAR CHIROMA II SHAMAKI,17-21-07-015,597
3605,JIGAWA,MALAM MADORI,MALAM MADORI,GIDAN MAIGARI/GAFAYAN FULANI,17-21-07-016,336
3606,JIGAWA,MALAM MADORI,MALAM MADORI,KOFAR MALAM HALADU/TITIN HALADU  III,17-21-07-017,474
3607,JIGAWA,MALAM MADORI,MALAM MADORI,KOFAR MALAM HALADU/TITIN HALADU  IV,17-21-07-018,16
3608,JIGAWA,MALAM MADORI,MALAM MADORI,BAKIN RIJAYA/TUDUN GANA RIJIYA II,17-21-07-019,53
3609,JIGAWA,MALAM MADORI,MALAM MADORI,TAHFIZ ISLAMIYYA PRI SCHOOL,17-21-07-020,750
3610,JIGAWA,MALAM MADORI,MALAM MADORI,TAHFIZ ISLAMIYYA PRI SCHOOL,17-21-07-021,60
3611,JIGAWA,MALAM MADORI,MALAM MADORI,GIDAN SARKIN FAWA/UNGUWAR SARKIN FAWA II,17-21-07-022,91
3612,JIGAWA,MALAM MADORI,MALAM MADORI,GIDAN MAIYARA/UNGUWAR MAIYARA II,17-21-07-023,59
3613,JIGAWA,MALAM MADORI,MALAM MADORI,DAKIDO PRI. SCH. II/UNGUWAR CHIROMA I SHAMAKI,17-21-07-024,100
3614,JIGAWA,MALAM MADORI,SHAIYA,GIDAN MAI UNGUWA/KARGON SHAYYA,17-21-08-001,477
3615,JIGAWA,MALAM MADORI,SHAIYA,GIDAN MAI UNGUWA/ SHAYYA TSAKIYA,17-21-08-002,1066
3616,JIGAWA,MALAM MADORI,SHAIYA,DINFIDUWA PRI. SCH./DINFIDUWA,17-21-08-003,561
3617,JIGAWA,MALAM MADORI,SHAIYA,SHAYYA UNGUWAR GABAS PRI. SCH.,17-21-08-004,564
3618,JIGAWA,MALAM MADORI,SHAIYA,GIDAN MAIGARI/MARMA AREWA,17-21-08-005,444
3619,JIGAWA,MALAM MADORI,SHAIYA,GIDAN MAIGARI/YALWAN  SHAYYA,17-21-08-006,294
3620,JIGAWA,MALAM MADORI,SHAIYA,GIDAN MAIGARI/KWAN DOLA,17-21-08-007,526
3621,JIGAWA,MALAM MADORI,SHAIYA,GIDAN MAIGARI/BURUKU DALA,17-21-08-008,549
3622,JIGAWA,MALAM MADORI,SHAIYA,GIDAN MAIGARI/ZARO YAMMA,17-21-08-009,807
3623,JIGAWA,MALAM MADORI,SHAIYA,KOFAR MADAKI,17-21-08-010,47
3624,JIGAWA,MALAM MADORI,TAGWARO,YALWAN BABALE PRI. SCH.,17-21-09-001,499
3625,JIGAWA,MALAM MADORI,TAGWARO,KOFAR MAIGARI/YALWAN BUJIRI,17-21-09-002,775
3626,JIGAWA,MALAM MADORI,TAGWARO,KACHAKAMA PRI. SCH.,17-21-09-003,601
3627,JIGAWA,MALAM MADORI,TAGWARO,GIDAN MAIGARI/KAFIN GURNO,17-21-09-004,538
3628,JIGAWA,MALAM MADORI,TAGWARO,TAGWARO PRI. SCH.,17-21-09-005,941
3629,JIGAWA,MALAM MADORI,TAGWARO,GIDAN MAIGARI/DOGON JEJI,17-21-09-006,273
3630,JIGAWA,MALAM MADORI,TAGWARO,GIDAN MAIGARI/JANISKI,17-21-09-007,497
3631,JIGAWA,MALAM MADORI,TAGWARO,GIDAN MAIGARI/KEBBERI,17-21-09-008,653
3632,JIGAWA,MALAM MADORI,TAGWARO,KICHIDUNE PRI. SCH.,17-21-09-009,307
3633,JIGAWA,MALAM MADORI,TAGWARO,GIDAN MAIGARI/GORORIN HABE,17-21-09-010,295
3634,JIGAWA,MALAM MADORI,TAGWARO,KOFAR MAIGARI/YALWAN BUJIRI II,17-21-09-011,1
3635,JIGAWA,MALAM MADORI,TAGWARO,TAGWARO PRI. SCH. II,17-21-09-012,51
3636,JIGAWA,MALAM MADORI,TASHENA,GIDAN MAIGARI/AGUBU,17-21-10-001,644
3637,JIGAWA,MALAM MADORI,TASHENA,KADUME PRI. SCH.,17-21-10-002,1152
3638,JIGAWA,MALAM MADORI,TASHENA,TASHENA PRI. SCH.,17-21-10-003,827
3639,JIGAWA,MALAM MADORI,TASHENA,GIDAN MAIGARI/HADIN MAIKAROFI,17-21-10-004,545
3640,JIGAWA,MALAM MADORI,TASHENA,GIDAN MAIGARI/DOMAWA,17-21-10-005,305
3641,JIGAWA,MALAM MADORI,TASHENA,GIDAN MAIGARI/AZAMU,17-21-10-006,907
3642,JIGAWA,MALAM MADORI,TASHENA,JAMA'ARE QUARTERS/JAMA'ARE QUARTERS,17-21-10-007,655
3643,JIGAWA,MALAM MADORI,TASHENA,KADUME PRI. SCH. II,17-21-10-008,42
3644,JIGAWA,MALAM MADORI,TASHENA,TASHENA PRI. SCH. II,17-21-10-009,28
3645,JIGAWA,MALAM MADORI,TASHENA,GIDAN MAI GARI AZAMU I,17-21-10-010,3
3646,JIGAWA,MALAM MADORI,TONIKUTARA,DOGON MARKEN GALADIMA PRI. SCH.,17-21-11-001,379
3647,JIGAWA,MALAM MADORI,TONIKUTARA,GIDAN MAIGARI/JIGAWAR MUSA,17-21-11-002,585
3648,JIGAWA,MALAM MADORI,TONIKUTARA,GIDAN MAIGARI/NASARAWA GABAS,17-21-11-003,570
3649,JIGAWA,MALAM MADORI,TONIKUTARA,CHIROMARI PRI. SCH.,17-21-11-004,613
3650,JIGAWA,MALAM MADORI,TONIKUTARA,TONIKUTARA PRI. SCH.,17-21-11-005,539
3651,JIGAWA,MALAM MADORI,TONIKUTARA,GIDAN MAIGARI/DOGON MARKEN GASHARE,17-21-11-006,478
3652,JIGAWA,MALAM MADORI,TONIKUTARA,GIDAN MAIUNGUWA/GANDUN BINDIGOMA,17-21-11-007,628
3653,JIGAWA,MALAM MADORI,TONIKUTARA,GANDUN SARKI PRI. SCH. I,17-21-11-008,908
3654,JIGAWA,MALAM MADORI,TONIKUTARA,GANDUN SARKI PRI. SCH. II,17-21-11-009,865
3655,JIGAWA,MALAM MADORI,TONIKUTARA,A.T.C. HADEJIA/A.T.C HADEJIA,17-21-11-010,856
3656,JIGAWA,MALAM MADORI,TONIKUTARA,GANDUN SARKI PRI. SCH. III,17-21-11-011,291
3657,JIGAWA,MALAM MADORI,TONIKUTARA,GANDUN SARKI PRI. SCH. IV,17-21-11-012,53
3658,JIGAWA,MALAM MADORI,TONIKUTARA,"SHAGARI COMMUNITY PRI SCHOOL, WARWARIN",17-21-11-013,267
3659,JIGAWA,MIGA,DANGYATIN,DANGYATUN PRI. SCH. DANGYATUN  I,17-22-01-001,887
3660,JIGAWA,MIGA,DANGYATIN,DANGYATUN PRI. SCH. DANGYATUN  II,17-22-01-002,704
3661,JIGAWA,MIGA,DANGYATIN,TSA,17-22-01-003,462
3662,JIGAWA,MIGA,DANGYATIN,BURJI C/GARI,17-22-01-004,784
3663,JIGAWA,MIGA,DANGYATIN,BURJI FULATAWA,17-22-01-005,567
3664,JIGAWA,MIGA,DANGYATIN,BURJI KAINAWA,17-22-01-006,515
3665,JIGAWA,MIGA,DANGYATIN,BURJI MAKERA PRI. SCH. I,17-22-01-007,601
3666,JIGAWA,MIGA,DANGYATIN,BURJI MAKERA PRI. SCH. II,17-22-01-008,598
3667,JIGAWA,MIGA,DANGYATIN,BURJI YANMALAM,17-22-01-009,718
3668,JIGAWA,MIGA,DANGYATIN,KOMAI ALLAH YAYI,17-22-01-010,805
3669,JIGAWA,MIGA,DANGYATIN,DANGYATUN C/GARI III,17-22-01-011,716
3670,JIGAWA,MIGA,DANGYATIN,KOMAI ALLAH YAYI GIDAN RUWA,17-22-01-012,100
3671,JIGAWA,MIGA,DANGYATIN,DANGYATIN BASIC HEALTH CARE,17-22-01-013,336
3672,JIGAWA,MIGA,GARBO,ALFA-GARBO - ALFA   I,17-22-02-001,595
3673,JIGAWA,MIGA,GARBO,ALFA-GARBO - ALFA   II,17-22-02-002,460
3674,JIGAWA,MIGA,GARBO,GARBO - GARBO - C/GARI,17-22-02-003,750
3675,JIGAWA,MIGA,GARBO,GARIN AMADU - GARBO - GARIN - AMADU,17-22-02-004,690
3676,JIGAWA,MIGA,GARBO,TAKALAFIYA PRI. SCH. TAKALAFIYA C/GARI,17-22-02-005,750
3677,JIGAWA,MIGA,GARBO,KORAN - DABO  TAKALAFIYA - KORAN  - DABO,17-22-02-006,575
3678,JIGAWA,MIGA,GARBO,ZUNGURAWA - TAKALAFIYA - ZUNGURAWA,17-22-02-007,860
3679,JIGAWA,MIGA,GARBO,GDSSS TAKALAFIYA,17-22-02-008,367
3680,JIGAWA,MIGA,GARBO,SABARA - ZUNGURAWA,17-22-02-009,73
3681,JIGAWA,MIGA,GARBO,JSS GARBO,17-22-02-010,636
3682,JIGAWA,MIGA,GARBO,HARBO H/CLINIC,17-22-02-011,105
3683,JIGAWA,MIGA,HANTSU,HANTSU PRI. SCH.  HANTSU C/GARI  I,17-22-03-001,750
3684,JIGAWA,MIGA,HANTSU,GIDAN NAGARI   - GIDAN - C/GARI  II,17-22-03-002,785
3685,JIGAWA,MIGA,HANTSU,MAIGANJARA/MAIGANJARA,17-22-03-003,381
3686,JIGAWA,MIGA,HANTSU,MARKEWA/MARKEWA,17-22-03-004,648
3687,JIGAWA,MIGA,HANTSU,SARAWUYA PRI. SCH. SARAWUYA  I,17-22-03-005,759
3688,JIGAWA,MIGA,HANTSU,SARAWUYA PRI. SCH. SARAWUYA  II,17-22-03-006,816
3689,JIGAWA,MIGA,HANTSU,HANTSU C/GARI III,17-22-03-007,886
3690,JIGAWA,MIGA,HANTSU,HANTSU HEALTH CLINIC,17-22-03-008,469
3691,JIGAWA,MIGA,HANTSU,HANTSU C/GARI  IV,17-22-03-009,48
3692,JIGAWA,MIGA,HANTSU,SARAWUYA DISPENSARY,17-22-03-010,259
3693,JIGAWA,MIGA,KOYA,KOYA PRI. SCH. KOYA - C/GARI  I,17-22-04-001,830
3694,JIGAWA,MIGA,KOYA,KOYA PRI. SCH. KOYA - C/GARI II,17-22-04-002,598
3695,JIGAWA,MIGA,KOYA,GALADIMAWA,17-22-04-003,496
3696,JIGAWA,MIGA,KOYA,NAFADAWA/NAFADAWA,17-22-04-004,672
3697,JIGAWA,MIGA,KOYA,KOYA HEALTH CLINIC,17-22-04-005,132
3698,JIGAWA,MIGA,MIGA,MIGA/MIGA  C/GARI,17-22-05-001,878
3699,JIGAWA,MIGA,MIGA,GALAUCIME PRI. SCH  GALAUCIME,17-22-05-002,1168
3700,JIGAWA,MIGA,MIGA,MIGA/MIGA -  K/FADA  I,17-22-05-003,861
3701,JIGAWA,MIGA,MIGA,MIGA/MIGA -  K/FADA  II,17-22-05-004,917
3702,JIGAWA,MIGA,MIGA,MIGA/MIGA -  K/KUDU  I,17-22-05-005,865
3703,JIGAWA,MIGA,MIGA,MIGA/MIGA -  K/KUDU II,17-22-05-006,842
3704,JIGAWA,MIGA,MIGA,KIGAWA PRI. SCH. KIGAWA,17-22-05-007,867
3705,JIGAWA,MIGA,MIGA,NASARAWA HEALTH CLINIC KIGAWA,17-22-05-008,750
3706,JIGAWA,MIGA,MIGA,ZAGE DANTSE I-MIGA PRIMARY SCHOOL,17-22-05-009,565
3707,JIGAWA,MIGA,MIGA,AGUFA C/GARI I,17-22-05-010,750
3708,JIGAWA,MIGA,MIGA,AGUFA C/GARI II,17-22-05-011,750
3709,JIGAWA,MIGA,MIGA,DAMAGANAWA II,17-22-05-012,712
3710,JIGAWA,MIGA,MIGA,ZUGAWA,17-22-05-013,564
3711,JIGAWA,MIGA,MIGA,GWARI,17-22-05-014,731
3712,JIGAWA,MIGA,MIGA,SHUNAWA,17-22-05-015,475
3713,JIGAWA,MIGA,MIGA,YANDADI,17-22-05-016,660
3714,JIGAWA,MIGA,MIGA,ZAGE DANTSE,17-22-05-017,616
3715,JIGAWA,MIGA,MIGA,DAMAGANAWA,17-22-05-018,654
3716,JIGAWA,MIGA,MIGA,HEALTH CLINIC AGUFA CIKIN GARI,17-22-05-019,379
3717,JIGAWA,MIGA,MIGA,JSS AGUFA I,17-22-05-020,438
3718,JIGAWA,MIGA,MIGA,MIGA LEA,17-22-05-021,151
3719,JIGAWA,MIGA,MIGA,IMAM MALIK SCHOOL  KADAWA,17-22-05-022,130
3720,JIGAWA,MIGA,MIGA,JSS MIGA,17-22-05-023,97
3721,JIGAWA,MIGA,MIGA,GDSS MIGA,17-22-05-024,84
3722,JIGAWA,MIGA,MIGA,TARAI KWANA,17-22-05-025,116
3723,JIGAWA,MIGA,MIGA,GALAUCIME DISPENSARY I,17-22-05-026,85
3724,JIGAWA,MIGA,MIGA,NASARWA PRI SCH,17-22-05-027,490
3725,JIGAWA,MIGA,SABON GARI TAKANEBU,SABON GARI PRI. SCH. SABON GARI  I,17-22-06-001,1072
3726,JIGAWA,MIGA,SABON GARI TAKANEBU,SABON GARI PRI. SCH. SABON GARI II,17-22-06-002,1124
3727,JIGAWA,MIGA,SABON GARI TAKANEBU,DABA/DABA,17-22-06-003,833
3728,JIGAWA,MIGA,SABON GARI TAKANEBU,NAMAKO/NAMAKO,17-22-06-004,580
3729,JIGAWA,MIGA,SABON GARI TAKANEBU,WAYU/WAYU,17-22-06-005,600
3730,JIGAWA,MIGA,SABON GARI TAKANEBU,TSAGAIWA PRI. SCH. TSAGAIWA - C/GARI,17-22-06-006,606
3731,JIGAWA,MIGA,SABON GARI TAKANEBU,JAMAGA PRI. SCH. JAMAGA  I,17-22-06-007,880
3732,JIGAWA,MIGA,SABON GARI TAKANEBU,JAMAGA PRI. SCH. JAMAGA  II,17-22-06-008,663
3733,JIGAWA,MIGA,SABON GARI TAKANEBU,YALO/YALO,17-22-06-009,553
3734,JIGAWA,MIGA,SABON GARI TAKANEBU,JAMAGA HEALTH CLINIC,17-22-06-010,57
3735,JIGAWA,MIGA,SABON GARI TAKANEBU,DABA PRI SCHOOL,17-22-06-011,80
3736,JIGAWA,MIGA,SABON GARI TAKANEBU,SABON GARI OLD CLINIC,17-22-06-012,65
3737,JIGAWA,MIGA,SABON GARI TAKANEBU,JSS SABON GARI,17-22-06-013,116
3738,JIGAWA,MIGA,SANSANI,ATAFIYAWA  I,17-22-07-001,376
3739,JIGAWA,MIGA,SANSANI,ATAFIYAWA  II,17-22-07-002,499
3740,JIGAWA,MIGA,SANSANI,AIGWA,17-22-07-003,426
3741,JIGAWA,MIGA,SANSANI,SANSANI AREWA,17-22-07-004,321
3742,JIGAWA,MIGA,SANSANI,SANSANI C/GARI I,17-22-07-005,755
3743,JIGAWA,MIGA,SANSANI,SANSANI C / GARI II,17-22-07-006,383
3744,JIGAWA,MIGA,SANSANI,MADUGA PRI. SCH.  MADUGU C/GARI I,17-22-07-007,766
3745,JIGAWA,MIGA,SANSANI,MADUGA PRI. SCH.  MADUGU C/GARI  II,17-22-07-008,653
3746,JIGAWA,MIGA,SANSANI,MADUGA WARAWA,17-22-07-009,570
3747,JIGAWA,MIGA,SANSANI,MADUGU ZANGO,17-22-07-010,278
3748,JIGAWA,MIGA,SANSANI,SANSANI HEALTH CLINIC,17-22-07-011,82
3749,JIGAWA,MIGA,TSAKUWAWA,TSAKUWAWA PRI. SCH. TSAKUWAWA C/GARI,17-22-08-001,1267
3750,JIGAWA,MIGA,TSAKUWAWA,TSAKUWAWA  GULULU,17-22-08-002,1128
3751,JIGAWA,MIGA,TSAKUWAWA,TSAKUWAWA K/FADA,17-22-08-003,746
3752,JIGAWA,MIGA,TSAKUWAWA,TSAKUWAWA UMMADU,17-22-08-004,814
3753,JIGAWA,MIGA,TSAKUWAWA,TSAKUWAWA ZAGAU,17-22-08-005,639
3754,JIGAWA,MIGA,TSAKUWAWA,TSAKUWAWA UMMADU PRI SCH,17-22-08-006,128
3755,JIGAWA,MIGA,TSAKUWAWA,GOVT DAY SEC SCH TSAKUWAWA,17-22-08-007,227
3756,JIGAWA,MIGA,TSAKUWAWA,TSAKUWAWA GULULU   II,17-22-08-008,156
3757,JIGAWA,MIGA,YANDUNA,YANDUNA PRI. SCH. C/GARI,17-22-09-001,667
3758,JIGAWA,MIGA,YANDUNA,JAGALARI/JAGALARI,17-22-09-002,648
3759,JIGAWA,MIGA,YANDUNA,MALIKAWA/MALIKAWA,17-22-09-003,608
3760,JIGAWA,MIGA,YANDUNA,ADUCUWA PRI. SCH. ADUCUWA-C/GARI,17-22-09-004,772
3761,JIGAWA,MIGA,YANDUNA,ROMAWA PRI. SCH. ADUCUWA-ROMAWA,17-22-09-005,649
3762,JIGAWA,MIGA,YANDUNA,YANDUNA C/GARI,17-22-09-006,651
3763,JIGAWA,MIGA,ZAREKU,ZAREKU PRI. SCH. ZAREKU C/GARI,17-22-10-001,836
3764,JIGAWA,MIGA,ZAREKU,ZAREKU DABAKA I,17-22-10-002,388
3765,JIGAWA,MIGA,ZAREKU,ZAREKU GANUWA,17-22-10-003,718
3766,JIGAWA,MIGA,ZAREKU,ZAREKU KIRNANDE,17-22-10-004,723
3767,JIGAWA,MIGA,ZAREKU,ZAREKU MAKWALLA/ZAREKU P.S  I,17-22-10-005,662
3768,JIGAWA,MIGA,ZAREKU,ZAREKU MAKWALLA/ZAREKU P.S  II,17-22-10-006,501
3769,JIGAWA,MIGA,ZAREKU,ZAREKU  SALAMAWA,17-22-10-007,521
3770,JIGAWA,MIGA,ZAREKU,ZAREKU  ZANGO,17-22-10-008,597
3771,JIGAWA,MIGA,ZAREKU,ZAREKU DABAKA II,17-22-10-009,436
3772,JIGAWA,RINGIM,CHAI-CHAI,CHAI-CHAI PRI. SCH.  CHAI-CHAI GABAS,17-23-01-001,934
3773,JIGAWA,RINGIM,CHAI-CHAI,CHAI-CHAI PRI. SCH.  CHAI-CHAI YAMMA,17-23-01-002,826
3774,JIGAWA,RINGIM,CHAI-CHAI,KUNA PRI. SCH. KUNA/DOSA,17-23-01-003,926
3775,JIGAWA,RINGIM,CHAI-CHAI,GORA KOFAR KUDU/GORA KUDU/AREWA,17-23-01-004,404
3776,JIGAWA,RINGIM,CHAI-CHAI,JAUGA PRI. SCH.  JAUGA/GIJA,17-23-01-005,846
3777,JIGAWA,RINGIM,CHAI-CHAI,MALAMAWA PRI. SCH.  MALAMAWAR KALE,17-23-01-006,517
3778,JIGAWA,RINGIM,CHAI-CHAI,KOFAR MAI UNGUWA/GIDAN KUTUMBI/G/YAKO/G/DAMINA,17-23-01-007,527
3779,JIGAWA,RINGIM,CHAI-CHAI,KWANDARAI PRI. SCH.  KWANDARAI,17-23-01-008,658
3780,JIGAWA,RINGIM,CHAI-CHAI,KOFAR MAI UNGUWA/YANDUTSE KAWARI,17-23-01-009,424
3781,JIGAWA,RINGIM,CHAI-CHAI,KOFAR MAI UNGUWA/GIDAN ARA/DAGAZAU,17-23-01-010,537
3782,JIGAWA,RINGIM,CHAI-CHAI,KOFAR MAI UNGUWA/AURAMON HAYI/GIDAN DINYA,17-23-01-011,702
3783,JIGAWA,RINGIM,CHAI-CHAI,DAURAWA PRI. SCH.  DAURAWA GABAS,17-23-01-012,656
3784,JIGAWA,RINGIM,CHAI-CHAI,DAURAWA PRI. SCH.  DAURAWA YAMMA,17-23-01-013,694
3785,JIGAWA,RINGIM,CHAI-CHAI,GIDAN SANI PRI. SCH.  GIDAN SANI,17-23-01-014,871
3786,JIGAWA,RINGIM,CHAI-CHAI,GIDAN KUTUMBI/G/YAKO/G/DAMINA,17-23-01-015,608
3787,JIGAWA,RINGIM,CHAI-CHAI,DIGAWAR HAUSAWA K/MAI UNGUWA,17-23-01-016,688
3788,JIGAWA,RINGIM,CHAI-CHAI,CHAI-CHAI PRI. SCH.  CHAI-CHAI GABAS II,17-23-01-017,54
3789,JIGAWA,RINGIM,CHAI-CHAI,CHAI-CHAI SEN. SEC. SCH.,17-23-01-018,124
3790,JIGAWA,RINGIM,CHAI-CHAI,JSS CHAI-CHAI,17-23-01-019,117
3791,JIGAWA,RINGIM,CHAI-CHAI,OPEN SHED JAUGA,17-23-01-020,51
3792,JIGAWA,RINGIM,CHAI-CHAI,GIDAN SANI PRI. SCH.  GIDAN SANI II,17-23-01-021,81
3793,JIGAWA,RINGIM,DABI,DABI PRI. SCH. DABI TSAKIYA,17-23-02-001,1412
3794,JIGAWA,RINGIM,DABI,DABI PRI. SCH. DABI YAMMA,17-23-02-002,918
3795,JIGAWA,RINGIM,DABI,DABI PRI. SCH. DABI KUDU,17-23-02-003,974
3796,JIGAWA,RINGIM,DABI,KIJAWAL PRI. SCH. KIJAWAL,17-23-02-004,799
